Age,Gender,Education,Marital_Status,Region,State,Farm_Size,Crop_Type,Livestock_Type,Livestock_Number,Irrigation,Crop_Cycles,Technology_Use,Previous_Loans,Loan_Amount,Repayment_Status,Savings_Behavior,Financial_Access,Annual_Income,Extension_Services,Market_Distance,Yield_Per_Season,Input_Usage,Labor,Loan_Repaid,Credit_Score
24,Male,Secondary,Married,North Central,Nassarawa,3.03,Cassava,Pigs,12,No,2,No,No,0,Paid on Time,No,Yes,151443.96,Yes,13.2,141404.33,All,Family,1,42.63
29,Female,Tertiary,Divorced,South East,Enugu,1.55,Vegetables,Goats,17,No,1,No,Yes,447710,Paid on Time,Yes,No,445338.45,No,2.04,181831.57,None,Family,1,59.22
29,Female,Secondary,Single,South East,Anambra,2.27,Rice,Poultry,4,No,3,No,No,0,Late,Yes,Yes,305030.65,No,13.09,124814.78,All,Family,0,29.2
26,Male,Secondary,Single,South East,Imo,3.42,Rice,None,0,No,3,No,Yes,338075,Paid on Time,Yes,Yes,242925.37,No,6.94,130614.92,None,Both,1,41.77
25,Female,Secondary,Single,North West,Kebbi,1.76,Maize,Goats,15,No,1,Yes,No,0,Paid on Time,No,Yes,310212.89,Yes,16.03,167156.75,All,Hired,1,68.29
18,Female,Secondary,Married,South East,Abia,2.82,Cassava,Goats,13,No,2,Yes,No,0,Paid on Time,No,No,350727.4,Yes,7.29,181944.55,None,Family,1,67.81
29,Male,Primary,Married,North West,Kaduna,2.02,Rice,Goats,13,Yes,1,No,Yes,133807,Late,Yes,No,308995.61,Yes,13.04,159330.46,All,Both,0,48.54
21,Male,Secondary,Single,North West,Jigawa,0.19,Rice,None,0,No,3,No,No,0,Paid on Time,Yes,Yes,396501.5,No,6.85,141572.21,None,Family,1,80.94
19,Male,Tertiary,Single,South West,Ogun,0.77,Cassava,Pigs,11,No,1,Yes,No,0,Late,Yes,Yes,282225.97,No,12.15,162165.38,None,Both,0,48.0
20,Male,Secondary,Married,South West,Ogun,1.22,Oil Palm,Goats,5,No,2,No,No,0,Defaulted,Yes,No,364018.98,No,12.85,172385.43,None,Hired,0,16.56
31,Male,Primary,Married,South East,Ebonyi,0.57,Vegetables,Goats,3,No,1,Yes,No,0,Paid on Time,Yes,Yes,360616.51,No,9.41,91105.17,Some,Family,1,88.73
28,Female,Tertiary,Married,North West,Kebbi,1.98,Beans,Poultry,6,Yes,1,Yes,No,0,Paid on Time,Yes,Yes,242899.53,Yes,10.31,110976.3,None,Family,1,81.23
19,Female,Primary,Married,North Central,FCT,2.35,Sesame,Cattle,7,Yes,3,Yes,No,0,Paid on Time,Yes,No,313278.07,No,14.48,181758.59,All,Both,1,44.01
33,Male,Tertiary,Single,North East,Borno,2.4,Groundnut,Cattle,20,No,3,No,No,0,Paid on Time,Yes,Yes,518250.7,Yes,18.36,139798.47,None,Family,1,42.18
35,Male,Secondary,Single,North Central,Niger,1.51,Rice,Cattle,12,Yes,3,No,Yes,338107,Paid on Time,Yes,Yes,609404.9,No,14.66,193657.93,Some,Family,1,78.39
34,Male,Secondary,Single,North East,Adamawa,3.57,Millet,Goats,18,No,2,No,No,0,Paid on Time,Yes,Yes,145646.22,Yes,7.55,181127.82,None,Family,1,70.09
29,Male,Secondary,Single,North East,Bauchi,1.89,Millet,Goats,10,Yes,1,Yes,No,0,Paid on Time,Yes,Yes,226404.81,Yes,3.53,208041.34,None,Family,1,88.49
28,Female,Secondary,Single,North Central,Kwara,3.95,Maize,Goats,15,Yes,1,Yes,No,0,Late,Yes,Yes,241002.14,Yes,14.24,211125.05,Some,Both,0,50.28
32,Male,Secondary,Single,South West,Osun,0.76,Cocoa,Pigs,15,Yes,3,Yes,No,0,Paid on Time,Yes,No,362924.9,No,14.58,167324.42,Some,Hired,1,64.44
23,Male,Primary,Single,North West,Kebbi,1.06,Maize,Cattle,12,No,2,Yes,No,0,Paid on Time,Yes,No,364426.82,Yes,9.49,148660.28,All,Both,1,83.23
29,Male,Secondary,Divorced,South East,Ebonyi,2.62,Oil Palm,Pigs,17,No,1,No,Yes,282549,Paid on Time,No,Yes,314103.67,No,8.69,124616.01,All,Hired,1,56.35
23,Female,Tertiary,Single,South West,Oyo,1.68,Vegetables,Pigs,6,Yes,3,Yes,Yes,375593,Paid on Time,Yes,Yes,394817.68,Yes,2.24,134823.2,All,Family,1,69.35
25,Female,Secondary,Single,North West,Kebbi,2.98,Beans,None,0,No,2,No,No,0,Paid on Time,Yes,Yes,267516.86,Yes,2.08,123344.8,Some,Hired,1,75.77
30,Female,Secondary,Married,North Central,FCT,0.81,Cassava,Pigs,11,Yes,1,Yes,Yes,420321,Paid on Time,Yes,Yes,453073.24,Yes,10.9,219600.11,All,Hired,1,60.0
21,Female,Secondary,Single,North Central,Benue,2.33,Cassava,Goats,13,Yes,3,Yes,No,0,Paid on Time,No,Yes,339482.57,No,7.11,153184.42,Some,Both,1,70.08
26,Female,Primary,Single,North East,Yobe,2.18,Maize,Sheep,9,No,3,No,Yes,296242,Late,Yes,Yes,326540.38,Yes,5.82,257257.46,Some,Family,0,53.46
34,Male,Secondary,Single,North West,Zamfara,2.56,Rice,Goats,1,Yes,1,No,No,0,Defaulted,Yes,Yes,181005.49,Yes,18.39,122320.59,Some,Both,0,16.42
21,Female,Secondary,Single,South West,Oyo,0.9,Oil Palm,Goats,19,No,1,No,Yes,279189,Late,Yes,Yes,228870.14,No,12.31,255892.8,All,Family,0,12.62
19,Male,Tertiary,Single,North East,Gombe,2.87,Groundnut,Cattle,12,Yes,1,Yes,No,0,Paid on Time,Yes,Yes,120397.1,Yes,6.32,211804.66,Some,Hired,1,86.36
30,Male,Tertiary,Single,North Central,Plateau,2.87,Sesame,None,0,Yes,2,No,No,0,Paid on Time,No,Yes,376409.61,No,13.54,197835.12,All,Family,1,53.16
26,Male,Tertiary,Married,South East,Abia,1.15,Rice,Pigs,2,No,2,No,No,0,Paid on Time,No,No,139898.07,Yes,7.81,208315.14,None,Both,1,80.3
24,Male,Primary,Single,North Central,Kwara,2.54,Soybeans,Poultry,16,No,2,No,No,0,Paid on Time,No,No,210153.2,Yes,16.95,177890.52,All,Hired,1,59.93
19,Male,Primary,Single,South South,Rivers,2.06,Rice,Goats,13,No,1,No,No,0,Paid on Time,No,Yes,352969.28,Yes,1.72,212821.82,All,Hired,1,49.59
28,Female,Secondary,Single,North Central,Kwara,0.77,Rice,Poultry,2,Yes,2,Yes,Yes,299062,Paid on Time,No,Yes,273965.95,Yes,6.34,114916.4,All,Hired,1,76.22
20,Male,Secondary,Married,North East,Borno,2.88,Maize,Cattle,5,Yes,2,Yes,No,0,Late,Yes,Yes,376219.84,Yes,2.34,201647.74,None,Hired,0,19.94
30,Male,Secondary,Single,South South,Edo,1.99,Plantain,Pigs,5,Yes,1,Yes,Yes,103352,Paid on Time,No,Yes,521842.14,Yes,5.63,36181.32,None,Both,1,45.11
26,Female,Secondary,Single,North Central,Kwara,1.91,Sesame,Pigs,9,No,2,Yes,No,0,Paid on Time,No,Yes,392134.96,No,6.98,146209.13,All,Hired,1,72.95
20,Male,Tertiary,Married,North West,Zamfara,0.65,Rice,None,0,No,3,No,No,0,Paid on Time,Yes,Yes,202838.6,No,9.37,114125.74,All,Hired,1,84.95
25,Female,Secondary,Single,North West,Sokoto,1.68,Rice,None,0,No,2,Yes,No,0,Paid on Time,No,Yes,274916.7,Yes,4.95,146640.82,Some,Both,1,66.04
28,Male,Primary,Married,South West,Ondo,1.76,Vegetables,Pigs,2,No,2,No,No,0,Paid on Time,Yes,Yes,222098.62,No,3.3,195650.01,None,Both,1,82.33
26,Male,Secondary,Single,South South,Cross River,0.71,Cassava,None,0,Yes,2,No,Yes,77044,Paid on Time,No,Yes,323413.75,No,4.02,148013.05,All,Family,1,69.52
24,Male,Tertiary,Single,South South,Akwa Ibom,2.21,Cassava,Poultry,3,No,1,No,Yes,117695,Paid on Time,No,Yes,179485.82,Yes,13.8,179194.31,Some,Hired,1,79.19
21,Male,Secondary,Single,North Central,Nassarawa,1.22,Cassava,Cattle,20,No,1,No,No,0,Late,Yes,Yes,364828.04,Yes,17.82,87487.68,None,Family,0,16.89
23,Male,Secondary,Single,North West,Kebbi,0.47,Sorghum,None,0,No,1,No,No,0,Paid on Time,Yes,Yes,426258.41,No,20.31,210418.31,Some,Both,1,53.49
34,Female,Primary,Married,North East,Gombe,2.55,Millet,None,0,No,1,Yes,Yes,80447,Paid on Time,Yes,Yes,250624.01,No,10.95,178837.9,Some,Hired,1,48.91
23,Female,Secondary,Married,South West,Osun,2.36,Maize,Pigs,15,Yes,3,Yes,No,0,Paid on Time,Yes,Yes,304867.48,No,7.67,70264.85,None,Both,1,49.31
27,Female,Secondary,Married,North West,Katsina,2.1,Maize,Goats,17,Yes,1,Yes,No,0,Paid on Time,No,Yes,314596.16,No,5.12,105377.21,All,Both,1,52.48
33,Female,Secondary,Married,North East,Gombe,1.98,Groundnut,Sheep,16,Yes,2,No,Yes,445755,Paid on Time,Yes,Yes,225278.83,No,10.33,175796.96,None,Family,1,79.39
22,Female,Primary,Married,North West,Kaduna,2.29,Cotton,Sheep,14,No,1,No,No,0,Paid on Time,Yes,No,164341.82,Yes,11.32,120476.1,Some,Both,1,51.37
26,Female,Secondary,Married,North East,Yobe,2.55,Sesame,Goats,11,No,1,No,No,0,Paid on Time,Yes,Yes,256479.57,No,6.45,153688.51,Some,Both,1,62.96
34,Male,Primary,Single,South West,Ondo,3.16,Maize,Pigs,19,No,1,No,Yes,403323,Paid on Time,No,Yes,223163.51,No,19.14,250948.31,All,Family,1,66.94
20,Male,Secondary,Married,South East,Enugu,3.31,Vegetables,None,0,No,2,Yes,Yes,349855,Late,Yes,Yes,243185.77,No,3.8,203168.74,Some,Family,0,52.86
35,Male,Secondary,Married,South South,Bayelsa,1.91,Rubber,Pigs,3,No,3,Yes,No,0,Defaulted,No,Yes,267786.04,No,4.71,147949.23,None,Family,0,59.85
20,Male,Secondary,Married,North East,Borno,2.19,Cowpea,Sheep,5,Yes,1,Yes,No,0,Paid on Time,No,No,264683.37,No,3.36,204158.93,All,Both,1,83.99
18,Male,Primary,Single,South East,Abia,3.62,Oil Palm,Poultry,16,No,2,No,No,0,Late,Yes,Yes,267767.95,No,8.41,116226.93,All,Hired,0,18.36
18,Female,Primary,Married,South East,Anambra,2.13,Yam,Pigs,20,No,3,Yes,No,0,Paid on Time,No,No,493892.9,Yes,11.41,187328.0,None,Family,1,48.45
31,Male,Tertiary,Married,South East,Abia,2.25,Yam,Pigs,2,Yes,1,Yes,No,0,Defaulted,Yes,No,293655.39,Yes,10.98,165848.97,None,Family,0,58.14
32,Male,Primary,Single,North West,Jigawa,1.88,Beans,Cattle,9,Yes,1,Yes,Yes,167886,Paid on Time,Yes,Yes,278137.93,No,12.14,194956.79,Some,Both,1,71.31
34,Male,Secondary,Single,North Central,Kogi,2.35,Sesame,Cattle,16,No,1,No,Yes,273563,Paid on Time,No,Yes,439316.0,No,10.95,200052.3,Some,Family,1,85.53
31,Female,Secondary,Married,South West,Ekiti,4.11,Oil Palm,None,0,No,1,No,Yes,223824,Paid on Time,Yes,Yes,188694.56,Yes,12.12,157166.96,Some,Hired,1,53.45
23,Female,Primary,Single,South East,Anambra,2.81,Oil Palm,Pigs,6,Yes,2,No,Yes,370701,Paid on Time,Yes,Yes,320604.95,Yes,10.41,77122.43,All,Family,1,81.67
18,Male,Tertiary,Married,South East,Abia,0.12,Rice,None,0,No,1,No,Yes,487415,Late,Yes,No,311502.61,No,9.68,120486.23,None,Family,0,31.09
29,Female,Secondary,Single,North Central,Niger,0.8,Maize,None,0,No,2,No,No,0,Paid on Time,No,No,402922.18,Yes,8.12,178788.99,Some,Both,1,73.13
22,Male,Secondary,Married,South South,Edo,2.51,Oil Palm,None,0,No,1,No,No,0,Paid on Time,Yes,Yes,283169.18,Yes,8.49,134132.72,Some,Hired,1,66.5
33,Female,Tertiary,Married,North Central,FCT,-0.45,Yam,Poultry,3,Yes,3,Yes,Yes,281496,Paid on Time,Yes,No,455796.88,No,12.35,192280.08,Some,Hired,1,55.32
19,Male,Secondary,Married,North West,Zamfara,1.64,Cotton,Cattle,12,No,2,Yes,Yes,252514,Paid on Time,Yes,Yes,323212.85,Yes,7.98,156470.56,None,Both,1,41.27
20,Male,Primary,Single,North East,Taraba,3.11,Cowpea,Sheep,18,No,2,No,No,0,Paid on Time,Yes,Yes,181659.38,No,4.43,154883.79,All,Family,1,86.28
35,Male,Primary,Single,South South,Rivers,2.05,Oil Palm,Goats,10,No,1,Yes,No,0,Defaulted,Yes,Yes,294914.75,No,9.91,169862.23,Some,Family,0,22.35
20,Male,Primary,Single,North West,Katsina,1.83,Rice,Goats,19,Yes,3,No,Yes,124965,Paid on Time,Yes,Yes,252790.94,No,2.65,135699.79,None,Both,1,68.47
22,Female,Primary,Married,South East,Imo,2.52,Cassava,Pigs,19,Yes,3,No,No,0,Paid on Time,No,Yes,327142.15,No,11.35,132840.39,All,Both,1,87.2
33,Male,Secondary,Single,South West,Lagos,1.92,Maize,Poultry,17,No,2,No,Yes,233043,Paid on Time,Yes,Yes,107551.18,No,9.73,164277.7,None,Hired,1,80.33
33,Female,Primary,Single,South South,Rivers,0.62,Vegetables,Goats,3,Yes,3,No,No,0,Paid on Time,No,No,396308.9,Yes,19.79,137929.28,None,Hired,1,46.72
29,Female,Primary,Single,South South,Akwa Ibom,1.46,Rice,Poultry,16,Yes,1,Yes,No,0,Paid on Time,Yes,No,385661.71,No,10.9,157261.94,None,Family,1,59.96
31,Male,Secondary,Single,North Central,FCT,2.47,Sesame,Cattle,2,No,1,No,Yes,161041,Defaulted,Yes,Yes,114416.22,Yes,17.28,150154.21,None,Family,0,45.51
32,Male,Tertiary,Single,South West,Ogun,1.21,Oil Palm,None,0,Yes,2,Yes,No,0,Paid on Time,No,No,252917.1,No,16.8,84558.98,All,Both,1,65.15
27,Male,Secondary,Single,North West,Kaduna,0.89,Millet,None,0,No,1,No,No,0,Paid on Time,Yes,No,378218.26,Yes,0.83,148595.81,All,Hired,1,42.72
34,Male,Primary,Married,South West,Ondo,1.67,Vegetables,Poultry,12,No,1,Yes,No,0,Paid on Time,No,No,315519.07,Yes,15.35,159481.41,Some,Both,1,87.15
34,Male,Tertiary,Married,North West,Kaduna,2.74,Sorghum,Sheep,19,No,3,Yes,Yes,417570,Late,No,No,311088.95,No,10.44,159865.79,All,Family,0,41.72
27,Male,Secondary,Single,North West,Sokoto,1.93,Cotton,Sheep,5,Yes,2,No,Yes,84773,Late,Yes,Yes,411171.86,Yes,5.84,220852.19,None,Hired,0,20.79
30,Female,Primary,Single,South South,Bayelsa,2.14,Oil Palm,None,0,No,1,No,Yes,330343,Paid on Time,Yes,Yes,266008.55,No,13.7,124339.32,All,Family,1,81.91
21,Female,Primary,Married,North Central,Kogi,2.66,Soybeans,Pigs,17,Yes,1,Yes,No,0,Paid on Time,No,Yes,272448.97,No,10.6,227378.5,None,Family,1,40.85
26,Male,Primary,Single,South South,Bayelsa,2.98,Plantain,Poultry,15,No,1,Yes,Yes,304595,Paid on Time,No,No,225777.05,No,13.35,183848.32,Some,Family,1,84.97
19,Female,Secondary,Single,North East,Taraba,2.85,Maize,Sheep,9,No,3,No,No,0,Paid on Time,No,Yes,477279.12,Yes,6.69,120109.58,All,Hired,1,79.07
28,Female,Secondary,Divorced,South South,Cross River,2.44,Cassava,Poultry,13,No,3,No,Yes,487985,Paid on Time,No,No,196828.3,Yes,5.82,254476.94,All,Both,1,52.09
22,Female,Tertiary,Married,South West,Ondo,0.69,Maize,Goats,14,No,3,Yes,No,0,Paid on Time,Yes,No,319166.09,No,12.24,168554.7,All,Both,1,49.85
33,Male,Tertiary,Married,South West,Osun,1.78,Cocoa,Poultry,3,No,3,Yes,No,0,Defaulted,Yes,No,151099.96,No,12.13,150957.39,None,Family,0,33.85
32,Male,Secondary,Married,North Central,Niger,2.31,Sesame,Poultry,4,No,1,Yes,No,0,Late,Yes,No,405466.63,Yes,16.94,153304.78,All,Family,0,30.14
30,Male,Tertiary,Single,South East,Abia,5.5,Vegetables,Pigs,12,No,3,Yes,No,0,Defaulted,No,Yes,153659.4,Yes,6.58,189531.28,Some,Family,0,42.83
18,Male,Tertiary,Single,South South,Edo,0.47,Oil Palm,Pigs,18,Yes,2,No,Yes,116668,Paid on Time,Yes,Yes,303257.56,No,0.33,234439.7,All,Both,1,57.65
24,Female,Secondary,Married,South South,Cross River,0.58,Rice,Poultry,15,Yes,3,No,Yes,327667,Paid on Time,Yes,Yes,321364.59,No,5.48,145538.73,None,Family,1,74.68
21,Male,Tertiary,Married,South South,Rivers,1.43,Oil Palm,Goats,10,Yes,2,No,No,0,Paid on Time,Yes,Yes,133338.97,No,7.09,120598.07,All,Family,1,84.14
21,Female,Primary,Married,South East,Anambra,2.67,Yam,Pigs,15,No,2,No,No,0,Paid on Time,Yes,Yes,346259.13,Yes,13.53,112443.7,Some,Family,1,59.03
27,Male,Primary,Married,North West,Kebbi,2.78,Rice,Cattle,10,No,1,No,Yes,332727,Late,No,Yes,160466.63,No,1.55,157852.68,None,Both,0,19.01
23,Female,Secondary,Married,North East,Adamawa,1.58,Sorghum,Cattle,7,No,1,Yes,Yes,387369,Paid on Time,Yes,Yes,367659.8,No,6.45,243808.67,Some,Family,1,48.15
35,Male,Secondary,Single,South West,Osun,2.49,Oil Palm,Poultry,4,No,3,Yes,No,0,Late,Yes,No,424789.6,Yes,19.1,151996.82,None,Family,0,50.0
29,Male,Tertiary,Married,North West,Zamfara,3.05,Maize,Sheep,3,No,2,No,No,0,Paid on Time,No,Yes,449358.28,No,8.15,157169.42,Some,Family,1,55.34
34,Female,Secondary,Married,South West,Osun,0.57,Maize,Pigs,12,No,2,Yes,No,0,Paid on Time,Yes,Yes,359727.49,No,16.94,207331.2,Some,Family,1,60.92
35,Female,Tertiary,Single,North West,Katsina,2.4,Rice,Sheep,20,Yes,2,Yes,No,0,Late,No,Yes,295766.43,Yes,2.52,117498.8,All,Family,0,23.43
27,Female,Primary,Married,North Central,Benue,1.88,Soybeans,None,0,No,3,No,No,0,Paid on Time,Yes,No,227691.23,Yes,15.95,200683.79,Some,Family,1,53.55
19,Female,Tertiary,Single,North West,Katsina,2.55,Beans,None,0,Yes,2,No,Yes,314237,Paid on Time,No,Yes,334058.92,No,13.51,153349.09,All,Hired,1,49.43
